00:00 xSpiderMan     : YO TEK
00:01 xSpiderMan     : I accidently spawned a huge block of dirt earlier so I am restarting it xD
00:01 Tektronic      : lol
00:01 xSpiderMan     : cx
00:01 xSpiderMan     : look
00:01 xSpiderMan     : The dirt crossed over to my other block over here
00:02 xSpiderMan     : ?
00:02 Tektronic      : what do u mean
00:02 xSpiderMan     : I just said "?" because your standing there xD
00:02 Tektronic      : oh lol
00:03 xSpiderMan     : tek behind u
00:03 Tektronic      : did u see the secret entrance to the warehouse
00:03 xSpiderMan     : Not yet
00:03 Tektronic      : ok
00:03 xSpiderMan     : But look at this
00:03 Tektronic      : at what
00:03 xSpiderMan     : this plot
00:03 xSpiderMan     : cx
00:03 Tektronic      : why do you keep saying cocks
00:03 xSpiderMan     : Im not?
00:04 xSpiderMan     : Ill check out the secret entrance tho
00:05 xSpiderMan     : XD
00:05 Tektronic      : i musta did a good job
00:05 xSpiderMan     : ikr
00:06 xSpiderMan     : hint pls
00:06 Tektronic      : by the stairs
00:06 xSpiderMan     : ..
00:06 xSpiderMan     : I see a hole
00:06 Tektronic      : down there
00:06 xSpiderMan     : but idk
00:06 xSpiderMan     : ...
00:06 Tektronic      : u need perm?
00:06 xSpiderMan     : I cant even press it
00:07 xSpiderMan     : Thats cool
00:07 Tektronic      : thx
00:07 Tektronic      : glad u like it
00:08 Tektronic      : spent a long time last night making it
00:08 xSpiderMan     : Yea, its cool
00:09 xSpiderMan     : erm
00:09 xSpiderMan     : wut happened
00:09 xSpiderMan     : TRUMP'S CAR IS GONE
00:09 xSpiderMan     : IDK WHAT TO TELL HIM
00:09 xSpiderMan     : ERM
00:09 Tektronic      : guess u fucked up worldedit
00:09 Tektronic      : lol
00:09 xSpiderMan     : ikr
00:09 xSpiderMan     : it crosses over to other plots
00:10 Tektronic      : it only crosses over if ur trusted
00:10 Tektronic      : were u trusted to his plot?
00:10 xSpiderMan     : Whos plot?
00:10 xSpiderMan     : This is my plot
00:10 Tektronic      : oh
00:10 xSpiderMan     : I made trump a car :3
00:10 Tektronic      : yeah you can affect all ur plots
00:10 xSpiderMan     : erm
00:10 xSpiderMan     : Ill put a truck der
00:11 xSpiderMan     : A cargo truck could fit
00:12 TheGamingLakeYT: hi
00:12 Tektronic      : hello
00:12 xSpiderMan     : Hai
00:16 TheGamingLakeYT: guys i have a question
00:17 TheGamingLakeYT: guys? Anyone?
00:19 xSpiderMan     : Tek
00:19 xSpiderMan     : Want meh 2 make u a car?
00:19 TheGamingLakeYT: guys
00:20 xSpiderMan     : ?
00:20 TheGamingLakeYT: im in some random village
00:20 xSpiderMan     : kk
00:23 Tektronic      : back
00:23 xSpiderMan     : wb
00:24 Tektronic      : ik
00:32 xSpiderMan     : Hai
00:32 Tektronic      : ik
00:32 xSpiderMan     : wb
00:32 Tektronic      : ik
00:32 xSpiderMan     : dis is meh taco truck
00:32 Tektronic      : ik
00:33 xSpiderMan     : ...
00:37 xSpiderMan     : OMG
00:37 xSpiderMan     : NUUU
00:37 xSpiderMan     : I LOST MY COMMAND BLOCK
00:37 xSpiderMan     : :(
00:41 xSpiderMan     : Hai
00:41 Tektronic      : ik
00:42 xSpiderMan     : Im using dis disguise so I can copy some of it to make a custom cop version of my skin
00:42 Tektronic      : u look like steve to me
00:42 xSpiderMan     : cx
00:42 xSpiderMan     : lel
00:42 Tektronic      : still look like steve
00:48 xSpiderMan     : hmm
00:50 xSpiderMan     : oo I like dis one
00:58 xSpiderMan     : wb
00:58 Tektronic      : ik
01:00 Sorlin         : hi
01:00 Tektronic      : ik
01:01 Sorlin         : Tek
01:01 Sorlin         : wanna egg dona's house
01:01 xSpiderMan     : Nu
01:01 Sorlin         : xD
