rowid	time	user	message
71327	1388275577	200	hi
71328	1388275582	6	nice santa hat
71329	1388275586	200	just a sec
71330	1388275637	200	i had to get all comfy
71331	1388275642	200	XD
71332	1388275645	6	lol
71333	1388275647	6	alright
71334	1388275652	6	so
71335	1388275656	6	what biomes do you like
71336	1388275664	200	hi omegle buddy
71337	1388275668	6	xd
71338	1388275668	200	i like jungle
71339	1388275669	6	lol
71340	1388275676	6	alright, lets go look for a jungle
71341	1388275680	200	yah
71342	1388275710	6	you finding anything good?
71343	1388275711	200	unique
71344	1388275725	200	woah
71345	1388275729	6	almost got blown up!
71346	1388275732	200	haha
71347	1388275742	200	i hat spiders
71348	1388275762	200	oh your a guy
71349	1388275769	200	fancy
71350	1388275770	6	i found it
71351	1388275782	200	you keep it
71352	1388275784	6	dont want it
71353	1388275790	200	kk
71354	1388275796	200	jungle time
71355	1388275826	200	save food dont run
71356	1388275831	6	good idea
71357	1388275833	6	i forget
71358	1388275840	200	ender,amd
71359	1388275844	6	we should get wool for beds
71360	1388275846	200	i hear endermen
71361	1388275908	200	i found somethinf
71362	1388275936	200	hi:)
71363	1388275942	6	probably gonna need those dirt for a mud hut
71364	1388275949	200	i like huts
71365	1388275960	6	that is a lot of freakin furnaces
71366	1388275961	6	lol
71367	1388275974	6	COW
71368	1388275975	200	this map is odd
71369	1388275986	6	3 beef
71370	1388275993	200	sheep
71371	1388276018	6	HORSE
71372	1388276020	200	do you have wood
71373	1388276028	6	no
71374	1388276029	6	sorry
71375	1388276050	6	you can tpa to me
71376	1388276051	200	thats why lol
71377	1388276067	200	yah
71378	1388276087	200	ill make food like a wife lol
71379	1388276107	6	lol
71380	1388276123	200	im stealin shhh
71381	1388276139	6	this is an old settlement
71382	1388276144	200	ikr
71383	1388276181	6	we need to cook some food
71384	1388276182	200	did you pick up my ffood
71385	1388276182	165	hey fag
71386	1388276184	165	i'ma kill u
71387	1388276184	6	hi sooner
71388	1388276187	6	lol
71389	1388276191	6	such anger
71390	1388276193	6	much scared
71391	1388276199	165	y u so mad
71392	1388276200	165	all the time
71393	1388276205	200	sowwy chicken
71394	1388276205	6	:\\
71395	1388276206	165	or should i say
71396	1388276208	165	'thyme'
71397	1388276211	165	i'm cutting trees.
71398	1388276220	165	some1 raided me
71399	1388276233	200	hly
71400	1388276240	165	hey love you 2
71401	1388276245	6	i see a witch over there!
71402	1388276252	165	shit man
71403	1388276252	200	run
71404	1388276252	165	brb
71405	1388276339	6	i cant find that diamond sword!!
71406	1388276349	6	i found it
71407	1388276352	6	a zombie had it
71408	1388276385	200	stupid zombie
71409	1388276413	6	i have stuff for you
71410	1388276419	200	fooood glorios food
71411	1388276438	200	ty
71412	1388276439	6	thats it
71413	1388276448	200	here
71414	1388276458	6	thx!
71415	1388276459	200	fooooddd
71416	1388276486	6	we should build a mud hut or something before next nightfall
71417	1388276492	6	night = dangerous
71418	1388276495	200	dont look at the ender men
71419	1388276505	200	they get mad
71420	1388276513	6	i know, whats their problem?!
71421	1388276521	200	anger issues
71422	1388276528	200	they refuse medication
71423	1388276528	6	just like my father...
71424	1388276563	200	bitch
71425	1388276569	200	haha jk
71426	1388276572	6	lol
71427	1388276575	200	i meant spider
71428	1388276580	6	ya, i know
71429	1388276618	200	im gonna cook more before we head out
71430	1388276649	6	im gonna get us a lot more wood
71431	1388276661	200	shiitt im scared
71432	1388276667	200	sorry for language
71433	1388276676	6	i love fucking bad language
71434	1388276697	200	hel ya
71435	1388276727	200	my head is in a wall because im afraid to turn around
71436	1388276732	6	LMAO
71437	1388276751	200	literally im taking a screenshot
71438	1388276758	200	im scared
71439	1388276773	6	im choppin wood for us
71440	1388276781	6	its day light you know
71441	1388276790	200	oh shit im dumb
71442	1388276885	200	table>
71443	1388276886	6	i got lots of wood now
71444	1388276889	6	table?
71445	1388276893	200	sweet
71446	1388276899	200	i need to craft
71447	1388276911	6	how much wool you got
71448	1388276912	200	here i have wool
71449	1388276925	200	thats what i was goin to craft
71450	1388276932	6	here
71451	1388276943	165	hi
71452	1388276945	200	nailed it
71453	1388276956	165	hey you guys come live with me
71454	1388276956	6	sooner_b_anthony
71455	1388276959	165	i've got so much
71456	1388276965	200	do you have 2 wool?
71457	1388276967	165	yeah m8
71458	1388276980	6	are you in a jungle?
71459	1388276984	165	fuck that
71460	1388276986	165	i tried though
71461	1388276987	200	haha
71462	1388276989	165	i tried finding one
71463	1388276992	6	tpa to us
71464	1388276998	6	with some wool
71465	1388277000	165	but i can't /sethome
71466	1388277002	200	yah freinds
71467	1388277002	165	so i can't come back
71468	1388277013	6	use a bed to sethome
71469	1388277023	165	solo puedo cnasar a noche
71470	1388277035	165	si puedes hacer noche
71471	1388277038	165	puedo cansar
71472	1388277045	200	sorry i couldnt make a teddy bear:)
71473	1388277051	6	before next nightfall missmandy, we should build a hut and sleep in a bed to save our location
71474	1388277060	200	agreed
71475	1388277134	165	i think i've made the best/worst survival base
71476	1388277140	165	it's really small and badlooking
71477	1388277143	165	but it has everything
71478	1388277155	6	soonerb is growing up
71479	1388277157	200	are you playing with us soonerb
71480	1388277164	165	like in the same world
71481	1388277165	165	or osmeething
71482	1388277175	6	you can tpa to us
71483	1388277178	165	but but
71484	1388277183	165	we gotta wait till night
71485	1388277183	6	butt butt in the what
71486	1388277187	165	omg
71487	1388277195	165	,/ignore malon
71488	1388277197	200	yah totally tp
71489	1388277205	200	im getting stoned
71490	1388277209	165	but ull kill me
71491	1388277210	200	im mean stone
71492	1388277214	165	and i'll b all like ":c"
71493	1388277218	165	oh it's night
71494	1388277219	165	cool
71495	1388277220	200	XD
71496	1388277232	200	i like darknes
71497	1388277243	165	i brought literally nothing
71498	1388277246	6	ur gruesome, arent you, missmandyy
71499	1388277248	165	but those wooollz
71500	1388277256	200	you scared the shit out of me malon
71501	1388277264	6	ive been here the whole time
71502	1388277266	200	i looked up and swa your skin
71503	1388277274	200	no soon did
71504	1388277278	6	oh lol
71505	1388277281	200	hahahahahaha
71506	1388277283	165	want soime iron
71507	1388277285	165	what about diamonds
71508	1388277286	6	yes
71509	1388277287	200	he died
71510	1388277288	6	yes
71511	1388277289	6	yes
71512	1388277300	165	i'll give you both half of what i have
71513	1388277317	6	what the funk
71514	1388277319	6	where did you get this
71515	1388277320	200	soon i have a nice warm bed for you
71516	1388277322	6	i thought you wre joking
71517	1388277324	165	i've been on the server for like
71518	1388277325	165	ever
71519	1388277329	165	you do?
71520	1388277330	165	<3
71521	1388277334	200	yes
71522	1388277340	6	mandy
71523	1388277340	200	<3
71524	1388277345	6	we just got a treasure trove of stuff
71525	1388277354	200	?
71526	1388277358	165	i'm just going to move with you guys
71527	1388277362	6	im gonna build us a chest and put the stuff in there
71528	1388277369	200	ohhk
71529	1388277381	6	check it out
71530	1388277386	200	should we ask for admin
71531	1388277391	200	slick
71532	1388277392	165	oh brb
71533	1388277396	6	what do we need admin for
71534	1388277415	200	idk but the pop up is annying
71535	1388277438	6	there, i turned the popups off
71536	1388277461	6	did you hear me?
71537	1388277468	200	um brb real quick
71538	1388277471	200	and thanks
71539	1388277475	6	np
71540	1388277479	6	wait
71541	1388277481	6	before you go
71542	1388277486	6	use bed
71543	1388277488	200	im meant outside
71544	1388277573	200	soon sleeps in the corner :)
71545	1388277580	6	LOL
71546	1388277586	6	hes gonna be pissssed!
71547	1388277610	6	yay
71548	1388277612	6	day time now
71549	1388277616	200	good mornind
71550	1388277622	200	hear wait
71551	1388277623	6	we should pack up and keep moving though
71552	1388277635	6	until we find jungle
71553	1388277642	6	yeah>
71554	1388277643	6	?
71555	1388277667	6	lmaoo
71556	1388277672	200	now lets
71557	1388277674	200	go
71558	1388277679	6	we should bring the beds
71559	1388277684	6	and stuff, so we can make a new home
71560	1388277688	6	as we keep going
71561	1388277695	6	sorry
71562	1388277697	200	oh srry
71563	1388277727	6	we head east
71564	1388277728	200	should i save the diamond sword
71565	1388277730	6	where the sun rises
71566	1388277735	6	yes
71567	1388277737	6	save diamond sword
71568	1388277739	6	its valuable
71569	1388277752	200	hear put down the table for a sec
71570	1388277793	200	k
71571	1388277794	6	oh wow
71572	1388277795	6	htnaks
71573	1388277797	6	thanks
71574	1388277808	200	yep im the wife lmao
71575	1388277847	200	ssrry we need it
71576	1388277855	6	no thats good
71577	1388277858	6	thanks for noticing
71578	1388277864	200	k now im ready XD
71579	1388277878	6	oooks dangerous
71580	1388277891	6	you shoujld use the diamond sword
71581	1388277897	200	atupid mobs
71582	1388277904	200	ok
71583	1388277917	200	wtf
71584	1388277934	6	looks like someone started building a hut and suddenly stopped. maybe he was killed mid-build?
71585	1388277952	200	and was brutally murdered!!!
71586	1388277955	200	haha jk
71587	1388277961	6	maybe it was soonerb lol
71588	1388277970	200	i wish lol
71589	1388277973	6	can i use that stone sword?
71590	1388277984	6	thanks!@
71591	1388277999	6	i really wanna find jungl
71592	1388278005	200	me to
71593	1388278015	6	damn
71594	1388278017	6	ouch
71595	1388278018	200	ow
71596	1388278021	6	lol
71597	1388278024	6	lemmings
71598	1388278047	200	lalalalavvvvaaa
71599	1388278060	6	lava right into the rier
71600	1388278061	6	river
71601	1388278083	6	and over there more laval
71602	1388278088	200	oh yeah
71603	1388278097	200	lets touch it!!@!
71604	1388278102	6	no u
71605	1388278103	6	lol
71606	1388278111	200	pretty
71607	1388278114	200	lol
71608	1388278117	6	gonna be dark soon
71609	1388278123	200	shit
71610	1388278130	6	we can sleep through the night though
71611	1388278131	200	wait cmer
71612	1388278138	200	cave
71613	1388278146	200	we can mine overnight
71614	1388278168	6	i think mining is too dangerous until we find a permanent home
71615	1388278183	200	k
71616	1388278186	6	sry
71617	1388278193	200	no i get it
71618	1388278217	6	we gonna have to cross that river
71619	1388278225	200	leggo
71620	1388278227	6	wait
71621	1388278228	6	here
71622	1388278230	6	is where we sleep
71623	1388278264	200	ieon
71624	1388278268	200	iron
71625	1388278374	6	whoa
71626	1388278377	6	house tree
71627	1388278391	6	come
71628	1388278395	6	maybe we use that
71629	1388278420	200	holy awesom
71630	1388278439	6	wanna live here?!
71631	1388278449	200	helll yes
71632	1388278457	6	it was griefed, but we can rebuild it!
71633	1388278465	200	he still has to sleep in the corner though
71634	1388278470	6	omg theres stuff in the chests!
71635	1388278473	6	JACKPOT
71636	1388278486	200	OMG
71637	1388278506	200	im fillin in with dirt for now
71638	1388278513	200	is that ol
71639	1388278517	6	i put all our valuabes in that chest
71640	1388278527	6	i can put anti-grief protection here
71641	1388278535	6	if this is our home for now
71642	1388278551	200	yeah this is cool if we repair it
71643	1388278577	200	omg cmer
71644	1388278581	200	nowownownow
71645	1388278591	6	HLY
71646	1388278593	6	A SECRET
71647	1388278599	200	no stop
71648	1388278604	6	k comeing back
71649	1388278606	200	igoes to the end
71650	1388278615	6	what do you mea
71651	1388278615	200	youll die
71652	1388278616	6	mean
71653	1388278618	6	how do you know
71654	1388278626	200	see the blie
71655	1388278633	6	thats water i think
71656	1388278643	200	be careful
71657	1388278647	6	its safe
71658	1388278655	6	WOW
71659	1388278655	200	jakpot
71660	1388278661	6	THESE MINES
71661	1388278668	6	somone put a lot of work into these mines!
71662	1388278679	200	shit im your lucky charm
71663	1388278682	6	ONS OF COAL
71664	1388278684	6	TONS AND TONS OF COAL
71665	1388278691	6	in the furnaces
71666	1388278700	200	muahahaha
71667	1388278720	200	this is swweet no wat
71668	1388278737	200	i can rebuild with this wood
71669	1388278752	200	lets just sleep sown here tonight
71670	1388278761	6	okay
71671	1388278764	6	the beds are upstairs in the chest
71672	1388278778	200	ill get them
71673	1388278917	200	where did you go
71674	1388278923	6	i was anti-griefing the house
71675	1388278931	6	im coming down now
71676	1388278933	200	ok
71677	1388279024	200	do you have a "bedtime:
71678	1388279027	6	no
71679	1388279097	200	im a noob
71680	1388279115	200	ok because im like nocturnel
71681	1388279156	200	or however its spelled
71682	1388279226	200	you didnt have to cut me out
71683	1388279228	200	haha
71684	1388279258	6	sleepin with malon
71685	1388279260	6	lol
71686	1388279267	200	lol
71687	1388279277	6	that....came out wrong
71688	1388279280	6	lol
71689	1388279280	200	here brb
71690	1388279336	6	i gotta run and get some food upstairs
71691	1388279456	200	thi
71692	1388279462	6	?
71693	1388279608	6	i maed u a present
71694	1388279612	200	awww
71695	1388279624	6	i bring it down
71696	1388279638	6	here
71697	1388279646	200	:o
71698	1388279651	200	no freaking way
71699	1388279660	6	its all we had, but i figured you'd like it xd
71700	1388279670	6	no, for u
71701	1388279672	200	eveb
71702	1388279674	6	present
71703	1388279675	200	no even
71704	1388279682	6	im not an indian giver
71705	1388279689	200	wtf
71706	1388279701	200	hig
71707	1388279702	6	:D
71708	1388279704	6	nice armor
71709	1388279704	200	hug
71710	1388279710	6	im gonna go mining for some armor now too
71711	1388279715	6	but first
71712	1388279719	200	no ill get it for you
71713	1388279723	6	im gonna chop you down some ornage wood to finish building the house
71714	1388279733	200	no i get you aromor
71715	1388279736	200	<3
71716	1388279743	6	alright, its a deal. you find me armor and i get you wood for house
71717	1388279747	200	luv u thanks
71718	1388279748	6	because we're PARTNERS
71719	1388279754	6	XD
71720	1388279757	200	in crime
71721	1388279766	6	lmao
71722	1388279789	198	hey guys
71723	1388279798	200	powerteeth scare me
71724	1388279801	198	?
71725	1388279818	200	ive been bit before it hurts like hell
71726	1388279939	200	found a cave for you:)
71727	1388279952	6	omg i hope theres iron in there !
71728	1388279975	200	there was a creeper
71729	1388279978	6	dont die
71730	1388279979	200	ouch
71731	1388279984	6	need help?
71732	1388279987	6	i'll tpa to you if you want
71733	1388280003	200	nope im good
71734	1388280029	200	i think i scared him away lol
71735	1388280095	200	oh yeah iron come to papa
71736	1388280107	200	i mean mam
71737	1388280109	200	a
71738	1388280115	6	haha
71739	1388280116	200	i failed
71740	1388280150	200	wow its alot
71741	1388280157	6	thats awesome
71742	1388280166	6	need about 50 of them to make a full suit
71743	1388280181	200	really?
71744	1388280189	6	wait
71745	1388280190	6	no
71746	1388280191	200	i though it was like 24
71747	1388280211	6	oh ya
71748	1388280213	200	i reaached bedrock
71749	1388280213	6	24
71750	1388280214	6	ur right
71751	1388280216	6	i counted
71752	1388280218	200	oh wow
71753	1388280219	6	im bad math
71754	1388280220	6	lol
71755	1388280221	6	sorry
71756	1388280227	200	im right for once
71757	1388280240	6	u seem smart, im sure you're right more than once
71758	1388280248	200	aww your sweet
71759	1388280282	200	again it would be weird if your 8 right now XD
71760	1388280299	6	I'm older than 8, I can speak like an adult if you want
71761	1388280315	200	are you older than 9
71762	1388280330	6	...
71763	1388280331	200	OMG
71764	1388280336	6	you're just gonna keep asking, aren't you?
71765	1388280349	200	i found a huge cavern
71766	1388280359	200	and yes im persistent
71767	1388280364	200	sorry
71768	1388280373	6	its fine
71769	1388280374	6	im not angry
71770	1388280386	6	I mean, how many people even know the word soliloquy
71771	1388280389	200	i like you you seem nice
71772	1388280395	6	im sure 8 and 9 year olds dont know that word
71773	1388280403	6	what about fastidious
71774	1388280411	6	or trudgeon
71775	1388280416	200	are you spanish
71776	1388280421	6	no, USA
71777	1388280425	6	minnesota
71778	1388280432	200	fastidous sounds spanish lol
71779	1388280436	6	lol
71780	1388280443	6	exactly, even you dont know those words
71781	1388280452	200	if i were to take a wild guess
71782	1388280465	200	it would be 15
71783	1388280471	200	plus 70
71784	1388280475	200	your 85
71785	1388280476	6	95?
71786	1388280480	6	er
71787	1388280483	6	im a bad
71788	1388280485	6	lol
71789	1388280491	200	i know im right
71790	1388280495	200	85
71791	1388280498	6	haha
71792	1388280499	200	totally
71793	1388280509	6	alright, but plz dont sign off if i tell you how old i am
71794	1388280519	200	your 10
71795	1388280530	6	im 29 (going to be 30 in a month)
71796	1388280541	200	nooo waaayyy
71797	1388280547	6	i haven't said anything weird to you, so you cant say im a pervert or nothin!
71798	1388280555	6	all i want is to play minecraft lol
71799	1388280556	6	yeah
71800	1388280562	6	im almost 30...
71801	1388280562	200	you seem so laid back
71802	1388280578	6	well, thats because i own my own house and i dont have any responsibilities other than going to work
71803	1388280581	6	and playing minecraft
71804	1388280582	6	lolk
71805	1388280586	6	and i dont have kids
71806	1388280590	200	i truly thought 15 haha
71807	1388280592	6	but im about to be married in a few months
71808	1388280597	6	nah
71809	1388280605	200	aw congrats
71810	1388280618	6	im a computer dude, one of those guys who runs a computer repair shop, which is why im playing
71811	1388280620	6	this is my server
71812	1388280627	200	oh cool
71813	1388280635	6	and also explains why i have [malon] in my name
71814	1388280648	200	and malon by you
71815	1388280652	200	malon
71816	1388280654	6	you can't say g.od, it gets automatically gets changed to malon
71817	1388280655	6	lol
71818	1388280658	200	hahaha
71819	1388280662	6	same with je.sus
71820	1388280671	6	are you mad?
71821	1388280680	200	about what
71822	1388280684	6	my age or anything
71823	1388280694	200	im not one to judge
71824	1388280702	6	oh thank gawd! no one like to play minecraft with me
71825	1388280713	6	because i guess i'm "too old"
71826	1388280724	200	age is just a number
71827	1388280727	6	whew
71828	1388280742	6	the upstairs house is looking nice
71829	1388280755	6	hows that armor coming
71830	1388280778	200	i have 10 and mining now
71831	1388280796	200	i found enough
71832	1388280842	200	no fucking way
71833	1388280847	200	i found diamond
71834	1388280853	6	SO LUCKY
71835	1388280856	6	what level are you on?!
71836	1388280859	6	y=?
71837	1388280866	200	and i cant mine it
71838	1388280879	6	BECAUSE YOU NEED IRON
71839	1388280885	6	make an iron pick with the iron
71840	1388280888	6	that youve found
71841	1388280907	200	i found a chest with iron
71842	1388280911	200	ill use that
71843	1388280934	200	im in a rail system and im afraid of traps
71844	1388280946	6	be careful!
71845	1388280958	200	im making a table sorry
71846	1388280971	6	lol thats nothing to apologize for!
71847	1388280991	6	noice!
71848	1388281006	6	wow
71849	1388281009	6	syndrole
71850	1388281012	6	hi syn
71851	1388281020	127	didnt ecpect me did u?
71852	1388281034	6	i did not ecpect you
71853	1388281037	200	so many creppers my goodnes
71854	1388281045	127	lol
71855	1388281084	127	still pure survival?
71856	1388281090	6	no, thers creative mode now too
71857	1388281103	127	no staff?
71858	1388281109	6	i got staff
71859	1388281128	200	im just a cool person
71860	1388281138	6	missmandyy is one of my fav playsr
71861	1388281140	6	players
71862	1388281142	127	with some admin commands, like in the old days?
71863	1388281143	200	<3
71864	1388281144	6	shes really chill
71865	1388281147	6	yes, syndrole
71866	1388281154	6	in fact, i just hired a new team of Horsemen
71867	1388281164	127	do i have to reaplly?
71868	1388281168	200	i love horses
71869	1388281177	6	except the team leader decided to go with nature powers instead of the 4 horsemen
71870	1388281184	6	he chose Air, Earth, Fire, Water
71871	1388281189	127	wow
71872	1388281194	127	can i be staff?
71873	1388281206	6	you gotta ask the head admin, james_lemonds
71874	1388281219	200	4 freaking diamonds malon!!!!
71875	1388281226	6	wow, nice mandy!
71876	1388281252	200	i was lost
71877	1388281254	6	np
71878	1388281257	6	thats what tpa is for
71879	1388281263	200	it looks inredinle
71880	1388281272	200	incredible blah
71881	1388281305	6	oh no! poor syndrole!
71882	1388281307	6	lol
71883	1388281310	6	rage quit
71884	1388281321	200	i cant build it thinks im greifing :/
71885	1388281324	6	oh
71886	1388281329	6	i will add you to the trusted person list
71887	1388281334	6	there
71888	1388281337	6	you can now
71889	1388281339	200	i love acacia
71890	1388281343	200	and thanks
71891	1388281354	6	how do you pronounce it? i say, "ah-kay-sha"
71892	1388281370	6	"uh-kay-sha"
71893	1388281383	6	im waiting for the trees to grow
71894	1388281389	6	so that way i can get more acacia
71895	1388281399	6	ive got about 6 acacia plants out here
71896	1388281404	6	waiting to grow into trees
71897	1388281406	6	for more wood
71898	1388281420	200	here
71899	1388281429	200	look
71900	1388281439	6	BONEMEAL
71901	1388281441	6	THANK YOU
71902	1388281456	200	did i say there were also skeletons
71903	1388281470	200	because yes
71904	1388281569	200	come in here
71905	1388281591	200	stand still
71906	1388281591	6	yeah?
71907	1388281595	6	k
71908	1388281609	200	oops wrong thing
71909	1388281609	6	cobble?
71910	1388281612	200	lol
71911	1388281614	6	lmao
71912	1388281622	6	omg thanks
71913	1388281629	6	wow!
71914	1388281638	6	amazing!
71915	1388281642	200	tah da
71916	1388281642	6	i will put it in our shared chest
71917	1388281653	200	merry christmas
71918	1388281656	6	theres more acacia in that chest now
71919	1388281658	6	if you want to keep building
71920	1388281667	6	are you gonna need me to adventure and find sand and stuff?
71921	1388281675	6	what resource do you need?
71922	1388281682	200	?
71923	1388281687	6	like, sand or iron or coal
71924	1388281693	6	those are resources
71925	1388281703	200	well it depends
71926	1388281704	6	whatever u need, i'll go find it
71927	1388281715	200	what do you think should be the roof
71928	1388281719	6	do you wanna stay here and build the house while i get the building materials
71929	1388281741	200	here dont use the diamonds i have an idea
71930	1388281747	6	can i have a diamon sword?
71931	1388281760	200	yes save 2
71932	1388281773	6	chop chop
71933	1388281773	200	do you want enchantinf table>
71934	1388281774	6	got it
71935	1388281784	6	yeah, enchants are good
71936	1388281789	200	k brb
71937	1388281802	6	do you need me to gather anything specific?
71938	1388281861	200	tell your fiance i said hi
71939	1388281874	6	i will
71940	1388281875	6	do you need me to gather anything specific?
71941	1388281881	200	no
71942	1388281886	200	here
71943	1388281908	6	fall down
71944	1388281917	6	fast travel
71945	1388281919	6	lol
71946	1388281921	200	want to come?
71947	1388281924	6	yeah
71948	1388281926	6	i do
71949	1388281931	200	getting obsidian
71950	1388281943	6	wait
71951	1388281949	6	lets sleep first
71952	1388281951	200	oh btw lost the huge cavern
71953	1388281952	6	make sure our house is saved
71954	1388281955	200	im noob
71955	1388281967	6	okay saved
71956	1388281981	6	do you have enough food
71957	1388281981	200	does iron mine obsidian
71958	1388281986	200	yes
71959	1388281988	6	diamond mines obsidian
71960	1388281994	200	crap
71961	1388281996	6	should i go make one
71962	1388282006	200	lets find diamonds!
71963	1388282013	200	no i only had 2
71964	1388282023	6	soonerb gave us 15
71965	1388282024	200	and we need 2 for table
71966	1388282026	6	we have lots
71967	1388282028	200	no wat
71968	1388282032	200	sweet
71969	1388282035	6	yeah
71970	1388282038	6	i told you jackpot
71971	1388282043	6	thats how i made all that iron you're wearing
71972	1388282046	6	he gave us really good stuff
71973	1388282053	200	he gets to move a little out of the corner!!!!!
71974	1388282058	6	LMAOOO
71975	1388282093	200	maybe i can change the sign but thats pushing it
71976	1388282131	200	OMg
71977	1388282159	200	it said i cant accept it
71978	1388282163	6	weird!
71979	1388282167	6	there
71980	1388282169	6	it worked
71981	1388282179	200	im so sorry can i come back in like 15 mins
71982	1388282180	6	in case you start on fire, use the water bucket to put you out
71983	1388282186	6	yeah, thats cool
71984	1388282191	6	i'll be here workin on our house together
71985	1388282200	200	ill stay on but my parents need me brb
71986	1388282206	6	k
71987	1388282208	6	bye!!!
71988	1388282240	6	hi tank
71989	1388282262	6	i liked your steve face you made tank
71990	1388282266	6	in creative
71991	1388282273	195	its gone
71992	1388282279	6	someone griefed it i know
71993	1388282279	6	sad
71994	1388282284	6	but it was still nice
71995	1388282558	6	pewp
71996	1388282722	6	you ever had a crush on someone soooo bad but you just couldn't ask them out?
71997	1388282795	200	ill be gone for about 15 more mins i feel bad sorry:(
71998	1388282806	200	were taking down the tree
71999	1388282809	6	its alright. if you cant play anymore, just tell me, its okay
72000	1388282825	200	no ill be back:P
72001	1388282834	6	lol okay, i wait patiently !
72002	1388283236	200	almost donee.....
72003	1388283246	6	ITS FINE
72004	1388283248	6	oops caps
72005	1388283251	6	its fine
72006	1388283254	6	i can wait
72007	1388283258	6	im a big boy lol
72008	1388283346	200	im back!!!!
72009	1388283357	6	wooo!!!
72010	1388283359	200	oh by obsidian
72011	1388283365	200	bye
72012	1388283367	6	did you get those obsidian i gave you
72013	1388283375	6	you should have like 17
72014	1388283375	200	yep
72015	1388283378	6	awesome
72016	1388283401	200	later we should find the cavern again
72017	1388283405	6	alright
72018	1388283413	6	are you gonna make a portal to the nether
72019	1388283428	200	sure
72020	1388283435	6	i was just asking
72021	1388283438	6	cuz the obsidian
72022	1388283459	200	i didnt even think that but yes
72023	1388283495	200	where would it go
72024	1388283502	6	i dunno, hard to say
72025	1388283516	200	idk if it should be in our house
72026	1388283524	6	monsters can come back trough
